env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C0,20,7,900,120,0,0,1,1,40,39,0.975,0.0616131,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,2,40,40,1,0.0616131,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,3,40,40,1,0.0616131,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,4,40,40,1,0.0616131,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,7,900,120,0,0,1,5,40,38,0.95,0.0616131,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,1,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,2,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,3,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,4,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,5,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C1,20,7,900,120,600,1200,1,1,112,106,0.946429,0.0616131,0.0616131,99,93,0.939394,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,2,107,106,0.990654,0.0616131,0.0616131,96,95,0.989583,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,3,114,114,1,0.0616131,0.0616131,100,100,1,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,4,111,111,1,0.0616131,0.0616131,97,97,1,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,5,107,106,0.990654,0.0616131,0.0616131,95,95,1,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,1,109,100,0.917431,1.48779,1.48779,81,74,0.91358,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,2,106,97,0.915094,1.48779,1.48779,81,73,0.901235,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,3,113,103,0.911504,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,4,108,106,0.981481,1.48779,1.48779,80,79,0.9875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,5,106,103,0.971698,1.48779,1.48779,80,77,0.9625,18000,11500,0.638889,6000,0,0,21,
